method;DEMA.short;DEMA.long;DEMA.thresholds.down;DEMA.thresholds.up;currency;asset;candleSize;historySize;trades;relativeResult;
"DEMA";8;19;-0.03;0.02;USDT;ETH;60;1;259;-286.0072;
"DEMA";8;19;-0.03;0.025;USDT;ETH;60;1;253;-283.4605;
"DEMA";8;19;-0.024999999999999998;0.02;USDT;ETH;60;1;263;-287.1675;
"DEMA";8;19;-0.024999999999999998;0.025;USDT;ETH;60;1;257;-284.6554;
"DEMA";8;21;-0.03;0.02;USDT;ETH;60;1;241;-267.8499;
"DEMA";8;21;-0.03;0.025;USDT;ETH;60;1;241;-267.5700;
"DEMA";8;21;-0.024999999999999998;0.02;USDT;ETH;60;1;243;-267.4350;
"DEMA";8;21;-0.024999999999999998;0.025;USDT;ETH;60;1;243;-267.1540;
"DEMA";8;23;-0.03;0.02;USDT;ETH;60;1;239;-264.0057;
"DEMA";8;23;-0.03;0.025;USDT;ETH;60;1;237;-262.8001;
"DEMA";8;23;-0.024999999999999998;0.02;USDT;ETH;60;1;243;-266.1021;
"DEMA";8;23;-0.024999999999999998;0.025;USDT;ETH;60;1;241;-264.9200;
"DEMA";10;19;-0.03;0.02;USDT;ETH;60;1;219;-227.8536;
"DEMA";10;19;-0.03;0.025;USDT;ETH;60;1;217;-226.0420;
"DEMA";10;19;-0.024999999999999998;0.02;USDT;ETH;60;1;221;-229.4677;
"DEMA";10;19;-0.024999999999999998;0.025;USDT;ETH;60;1;219;-227.6764;
"DEMA";10;21;-0.03;0.02;USDT;ETH;60;1;223;-269.3420;
"DEMA";10;21;-0.03;0.025;USDT;ETH;60;1;221;-267.6037;
"DEMA";10;21;-0.024999999999999998;0.02;USDT;ETH;60;1;225;-269.5807;
"DEMA";10;21;-0.024999999999999998;0.025;USDT;ETH;60;1;223;-267.7895;
"DEMA";10;23;-0.03;0.02;USDT;ETH;60;1;203;-229.2817;
"DEMA";10;23;-0.03;0.025;USDT;ETH;60;1;203;-228.2873;
"DEMA";10;23;-0.024999999999999998;0.02;USDT;ETH;60;1;211;-238.8118;
"DEMA";10;23;-0.024999999999999998;0.025;USDT;ETH;60;1;211;-237.8840;
"DEMA";12;19;-0.03;0.02;USDT;ETH;60;1;199;-223.4972;
"DEMA";12;19;-0.03;0.025;USDT;ETH;60;1;193;-205.2235;
"DEMA";12;19;-0.024999999999999998;0.02;USDT;ETH;60;1;199;-221.7507;
"DEMA";12;19;-0.024999999999999998;0.025;USDT;ETH;60;1;193;-203.2614;
"DEMA";12;21;-0.03;0.02;USDT;ETH;60;1;193;-170.2362;
"DEMA";12;21;-0.03;0.025;USDT;ETH;60;1;189;-170.4978;
"DEMA";12;21;-0.024999999999999998;0.02;USDT;ETH;60;1;197;-177.8006;
"DEMA";12;21;-0.024999999999999998;0.025;USDT;ETH;60;1;193;-178.0524;
"DEMA";12;23;-0.03;0.02;USDT;ETH;60;1;183;-170.8901;
"DEMA";12;23;-0.03;0.025;USDT;ETH;60;1;181;-160.0217;
"DEMA";12;23;-0.024999999999999998;0.02;USDT;ETH;60;1;183;-165.1498;
"DEMA";12;23;-0.024999999999999998;0.025;USDT;ETH;60;1;181;-153.9703;
