method;MACD.short;MACD.long;MACD.signal;market;trades;relativeProfit;relativeResult;
"MACD";5;16;8;17.3680;3251;-1.0000;-4232.8064;
"MACD";5;16;9;17.3680;3113;-1.0000;-4232.8064;
"MACD";5;16;10;17.3680;3019;-1.0000;-4232.8064;
"MACD";5;21;8;17.3680;3095;-1.0000;-4232.8064;
"MACD";5;21;9;17.3680;2965;-1.0000;-4232.8064;
"MACD";5;21;10;17.3680;2895;-1.0000;-4232.8064;
"MACD";5;26;8;17.3680;2995;-1.0000;-4232.8064;
"MACD";5;26;9;17.3680;2893;-1.0000;-4232.8064;
"MACD";5;26;10;17.3680;2809;-1.0000;-4232.8064;
"MACD";10;16;8;17.3680;2399;-1.0000;-4232.8049;
"MACD";10;16;9;17.3680;2289;-1.0000;-4232.8017;
"MACD";10;16;10;17.3680;2223;-1.0000;-4232.7985;
"MACD";10;21;8;17.3680;2321;-1.0000;-4232.8029;
"MACD";10;21;9;17.3680;2229;-1.0000;-4232.7992;
"MACD";10;21;10;17.3680;2115;-1.0000;-4232.7911;
"MACD";10;26;8;17.3680;2229;-1.0000;-4232.7999;
"MACD";10;26;9;17.3680;2145;-1.0000;-4232.7952;
"MACD";10;26;10;17.3680;2073;-1.0000;-4232.7934;
"MACD";15;16;8;17.3680;1217;-0.9934;-4230.6464;
"MACD";15;16;9;17.3680;1215;-0.9933;-4230.6264;
"MACD";15;16;10;17.3680;1193;-0.9918;-4230.1471;
"MACD";15;21;8;17.3680;1801;-0.9998;-4232.7345;
"MACD";15;21;9;17.3680;1701;-0.9995;-4232.6468;
"MACD";15;21;10;17.3680;1657;-0.9993;-4232.5814;
"MACD";15;26;8;17.3680;1805;-0.9997;-4232.7237;
"MACD";15;26;9;17.3680;1715;-0.9993;-4232.5853;
"MACD";15;26;10;17.3680;1637;-0.9987;-4232.3998;
